2022_12_PVFZCE_ANDEAN_ARC_part1,ROCK TYPE,SIO2,TIO2,AL2O3,FEOT,MGO,CAO,NA2O,K2O,SUM
s_AH-51 [5039],PLU,58.090,1.540,15.860,8.450,3.470,5.290,2.220,3.200,98.120
s_CB0007A [21647],PLU,58.100,0.900,17.200,6.653,3.000,6.000,3.700,2.200,97.753
s_RB-15-02A [22188],PLU,58.124,0.874,17.444,6.212,3.262,5.909,4.464,2.282,98.571
s_11825A [23254],PLU,58.200,0.460,19.900,4.680,1.250,5.610,5.500,1.190,96.790
s_060496-4 [7426],PLU,58.210,0.760,16.740,7.218,2.630,5.640,3.520,2.550,97.268
s_FA-12-09 [23308],PLU,58.224,0.950,18.058,8.348,3.240,7.872,2.701,0.179,99.573
s_246-R [7563],PLU,58.260,0.820,17.340,5.631,3.230,5.830,4.210,1.840,97.161
s_900827 [21647],PLU,58.260,0.800,17.200,9.594,2.450,5.050,3.550,3.540,100.444
s_90-005 [23505],PLU,58.271,0.717,16.835,8.832,3.778,7.271,3.777,0.131,99.612
s_U-8 [11649] / s_U8 [7358],PLU,58.280,0.640,18.080,6.810,3.150,6.860,3.830,1.260,98.910
s_PU128 [7395],PLU,58.300,0.580,13.860,4.350,5.330,3.250,2.540,5.040,93.250
s_11828B [22835],PLU,58.300,0.700,17.200,12.005,2.460,6.390,3.100,1.470,101.625
s_A312–38 [25370],PLU,58.310,0.920,16.730,6.230,3.700,6.640,4.390,1.040,97.960
s_RB-15-05 [22188],PLU,58.353,0.943,17.721,6.288,3.574,6.049,4.307,2.427,99.661
s_10719R [23254],PLU,58.400,0.740,16.000,5.990,2.130,5.410,3.800,2.490,94.960
s_13903J [23254],PLU,58.400,0.580,16.100,6.030,2.930,5.130,4.110,3.390,96.670
s_FL-16-5 [22953],PLU,58.430,0.920,17.010,6.814,3.170,6.430,3.220,1.960,97.954
s_10-011 [23505],PLU,58.485,0.792,17.465,7.585,4.165,6.909,1.164,1.786,98.351
s_PAL14-7 [24959],PLU,58.550,1.090,16.920,6.290,2.710,5.650,4.830,1.900,97.940
s_060496-1 [7426],PLU,58.620,0.650,17.220,6.464,3.100,6.640,3.480,1.950,98.124
s_900650 [21647],PLU,58.637,1.102,16.072,13.011,3.707,6.456,3.079,3.192,105.256
