Sample,Rock Type,SiO2,TiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,Total
PU-05-29,VOL,51.52,1.05,17.54,9.78,6.91,8.90,3.09,0.78,99.57
151284-04,VOL,51.54,0.83,17.58,8.04,7.47,9.86,2.80,0.67,98.79
CLD160N,VOL,51.56,0.94,19.61,7.90,5.74,9.76,2.77,0.56,98.84
CLD329D,VOL,51.58,1.11,18.27,9.80,5.05,8.93,3.24,0.59,98.56
1780S-208,VOL,51.60,1.04,18.00,9.00,5.94,9.54,2.87,0.54,98.53
1780SE-19,VOL,51.60,1.01,17.70,9.00,6.16,9.66,2.98,0.57,98.68
1751-7,VOL,51.60,1.03,17.60,9.09,6.15,9.57,3.03,0.59,98.66
JK 260,VOL,51.62,1.15,17.71,9.37,4.75,8.81,3.09,0.57,97.07
C185,VOL,51.62,1.03,17.84,9.10,5.81,9.55,3.13,0.61,98.69
20-3D,VOL,51.62,0.85,17.57,7.67,7.24,9.88,2.72,0.64,98.19
CLD160M,VOL,51.63,0.98,19.20,8.21,5.82,9.67,2.76,0.55,98.80
102(a),VOL,51.63,0.84,20.95,8.22,3.79,10.84,3.01,0.45,99.73
JK 234,VOL,51.64,1.05,17.71,8.63,4.79,9.15,2.90,0.56,96.43
1957-61,VOL,51.70,1.04,18.00,8.82,5.59,9.82,3.06,0.59,98.62
PU-02-14,VOL,51.71,0.93,17.97,8.91,6.85,10.05,2.87,0.40,99.69
PU-03-08,VOL,51.75,0.95,18.61,9.01,5.74,10.22,2.91,0.49,99.67
R1971 DV,VOL,51.76,1.13,16.59,9.59,6.10,9.55,2.98,0.63,98.33
Huel-4,VOL,51.77,1.19,17.76,9.88,4.60,8.91,3.56,0.93,98.61
201282-01,VOL,51.79,0.87,17.34,7.67,6.54,9.90,2.91,0.78,97.80
Cr-2,VOL,51.79,1.03,18.05,8.31,6.21,9.13,3.38,0.93,98.83
FB220114-6,VOL,51.79,1.04,17.26,8.72,6.22,8.36,3.19,1.04,97.62
1852-23,VOL,51.80,1.06,18.10,8.91,5.34,9.65,3.15,0.61,98.62
2008,VOL,51.80,1.07,17.87,10.06,5.69,9.67,2.78,0.63,99.57
PU-05-32,VOL,51.80,1.19,18.53,11.40,4.23,8.16,3.82,0.52,99.65
LL141112-4,VOL,51.82,1.10,18.85,10.20,4.44,7.40,3.59,0.54,97.94
CLD159A,VOL,51.84,1.08,17.46,8.90,6.27,9.37,3.08,0.58,98.59
HM-1,VOL,51.84,1.25,18.48,8.73,4.73,8.95,3.63,0.86,98.47
160185-03,VOL,51.86,0.91,16.90,8.27,7.67,9.83,2.69,0.65,98.78
FB151112-3,VOL,51.88,1.06,18.82,10.42,4.25,7.93,3.66,0.52,98.54
JK 199,VOL,51.88,1.38,16.07,10.43,3.43,7.41,3.44,0.58,94.62
161282-07,VOL,51.91,0.80,20.28,7.49,4.51,10.93,2.87,0.43,99.22
1971 10 M1,VOL,51.92,1.12,16.68,9.44,5.95,9.57,3.01,0.64,98.33
HL-2,VOL,51.93,1.08,17.57,8.13,6.56,9.21,3.03,1.08,98.59
Upper - H - 14,VOL,51.98,1.01,19.43,8.57,4.68,9.87,2.62,0.54,98.70
2008-508,VOL,52.00,1.11,17.70,9.18,5.54,9.53,2.82,0.69,98.57
115_01A,VOL,52.00,1.40,18.15,8.47,5.09,9.09,3.67,1.38,99.26
130108_08C,VOL,52.02,1.49,17.39,10.00,4.36,8.18,3.74,0.66,97.86
CLD339A,VOL,52.02,0.89,20.61,7.42,3.85,10.56,3.08,0.48,98.92
130108_05Ciii,VOL,52.03,1.04,20.82,7.88,2.53,5.38,3.28,0.82,93.78
FB220314-9,VOL,52.03,1.04,18.02,10.16,3.98,7.67,3.74,0.52,97.16
1957,VOL,52.04,1.02,17.82,9.79,5.70,9.58,3.03,0.64,99.62
151282-06,VOL,52.06,0.80,20.58,7.28,4.08,10.81,3.03,0.42,99.06
